280698,50121,"Elwood, VIC, Australia",Port Phillip,Elwood,Victoria,3184,Australia,-37.87384,144.98861000000002,Apartment,1.5,2.0,0.0,199.0,55
283257,1475619,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.8044,144.98213,House,2.0,3.0,753.0,140.0,111
284210,1480426,"Melbourne, VIC, Australia",Yarra,Melbourne,Victoria,3065,Australia,-37.7985,144.97883000000002,Apartment,1.0,1.0,,145.0,31
289467,1448773,"Menzies Creek, VIC, Australia",Yarra Ranges,Menzies Creek,Victoria,3159,Australia,-37.90546,145.39446999999998,Apartment,2.0,2.0,,250.0,4
309093,1349266,"Richmond, VIC, Australia",Yarra,Richmond,Victoria,3121,Australia,-37.81973,145.00078,Apartment,2.5,3.0,1292.0,249.0,16
310594,1597828,"Abbotsford, VIC, Australia",Yarra,Abbotsford,Victoria,3067,Australia,-37.80523,144.99518,House,1.0,1.0,807.0,135.0,146
313648,1612516,"East Melbourne, VIC, Australia",Melbourne,East Melbourne,Victoria,3002,Australia,-37.81245,144.98576,Apartment,1.0,1.0,0.0,111.0,46
317351,721348,"St Kilda East, VIC, Australia",Port Phillip,St Kilda East,Victoria,3183,Australia,-37.865590000000005,145.00471000000002,Apartment,1.0,2.0,0.0,125.0,48
366848,1852215,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.81133,144.97276000000002,Apartment,1.0,1.0,,129.0,21
381690,1914257,"St Kilda East, VIC, Australia",Port Phillip,St Kilda East,Victoria,3183,Australia,-37.863929999999996,144.99823999999998,Apartment,1.0,2.0,,113.0,32
385782,1930965,"Albert Park, VIC, Australia",Port Phillip,Albert Park,Victoria,3206,Australia,-37.8453,144.9555,Apartment,1.0,1.0,,111.0,16
394600,485320,"Brunswick, VIC, Australia",Moreland,Brunswick,Victoria,3056,Australia,-37.7691,144.95304,Apartment,1.0,1.0,,121.0,209
397285,1710397,"Caulfield, VIC, Australia",Glen Eira,Caulfield,Victoria,3162,Australia,-37.88129,145.02251,Apartment,2.0,2.0,,326.0,8
402105,1710397,"Elsternwick, VIC, Australia",Glen Eira,Elsternwick,Victoria,3185,Australia,-37.88162,144.99832,Apartment,2.0,3.0,,413.0,15
403876,2014143,"Kooyong, VIC, Australia",Stonnington,Kooyong,Victoria,3144,Australia,-37.84167,145.03505,Guesthouse,1.0,1.0,323.0,135.0,208
411059,1435566,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.81645,144.96055,Apartment,1.0,1.0,,129.0,408
414093,1710397,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.87052,144.97964,Apartment,2.0,3.0,,428.0,22
419490,2068905,"Flemington, VIC, Australia",Moonee Valley,Flemington,Victoria,3031,Australia,-37.78485,144.92751,Apartment,1.0,2.0,,150.0,3
432113,2148869,"Southbank, VIC, Australia",Melbourne,Southbank,Victoria,3006,Australia,-37.8269,144.96805,Apartment,2.0,3.0,,150.0,96
438849,2180044,"Hawthorn East, VIC, Australia",Boroondara,Hawthorn East,Victoria,3123,Australia,-37.824059999999996,145.05656000000002,House,2.0,2.0,,201.0,4
438899,1777499,"South Melbourne, VIC, Australia",Port Phillip,South Melbourne,Victoria,3205,Australia,-37.83359,144.9648,Loft,1.0,2.0,,300.0,182
448006,1710397,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.87148,144.98453999999998,Apartment,2.0,2.0,,326.0,8
448017,1710397,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.87128,144.98423,Apartment,1.0,2.0,,326.0,14
448041,1710397,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.87133,144.9827,Apartment,2.0,2.0,,326.0,11
456950,2271938,"Melbourne, VIC, Australia",Port Phillip,Melbourne,Victoria,3004,Australia,-37.853970000000004,144.98198,Apartment,1.0,1.0,936.0,291.0,3
458182,1710397,"Caulfield, VIC, Australia",Glen Eira,Caulfield,Victoria,3162,Australia,-37.88197,145.02401,Apartment,2.0,2.0,,326.0,6
464528,760849,"Port Melbourne, VIC, Australia",Port Phillip,Port Melbourne,Victoria,3207,Australia,-37.84414,144.93913,Apartment,2.0,2.0,,366.0,4
466494,760849,"Richmond, VIC, Australia",Yarra,Richmond,Victoria,3121,Australia,-37.817240000000005,145.00898999999998,House,2.0,3.0,0.0,593.0,4
466732,760849,"Elwood, VIC, Australia",Port Phillip,Elwood,Victoria,3184,Australia,-37.8879,144.98601000000002,Apartment,1.0,1.0,,305.0,3
479281,760849,"Brighton, VIC, Australia",Bayside,Brighton,Victoria,3186,Australia,-37.90883,144.99077,House,2.0,2.0,0.0,401.0,3
479333,760849,"Clifton Hill, VIC, Australia",Yarra,Clifton Hill,Victoria,3068,Australia,-37.786429999999996,145.0018,House,1.0,2.0,,401.0,9
479472,760849,"Sandringham, VIC, Australia",Bayside,Sandringham,Victoria,3191,Australia,-37.95231,145.01173,Townhouse,1.5,2.0,,366.0,5
479736,223256,"East St. Kilda, VIC, Australia",Port Phillip,East St. Kilda,Victoria,3183,Australia,-37.86947,144.99643,Apartment,1.0,2.0,,121.0,51
488819,1583912,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.803059999999995,144.9767,Apartment,1.0,1.0,,148.0,3
491993,1710397,"Caulfield South, VIC, Australia",Glen Eira,Caulfield South,Victoria,3162,Australia,-37.89716,145.0305,Apartment,2.0,2.0,,326.0,6
492022,760849,"Sandringham, VIC, Australia",Bayside,Sandringham,Victoria,3191,Australia,-37.94706,145.00228,Townhouse,1.0,3.0,,401.0,3
492071,760849,"Sandringham, VIC, Australia",Bayside,Sandringham,Victoria,3191,Australia,-37.948890000000006,145.00405,Townhouse,2.0,3.0,,449.0,7
519819,2558288,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.81456,144.974,Apartment,1.0,2.0,,169.0,34
529300,2600707,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.8631,144.98391999999998,Apartment,1.0,1.0,,93.0,9
529321,2600707,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.85957,144.98918,Apartment,1.0,1.0,,63.0,6
534083,2624960,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.85752,144.98588999999998,Apartment,1.0,1.0,0.0,99.0,172
542188,223256,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.87212,144.98313000000002,Apartment,1.0,2.0,0.0,140.0,68
552797,2716860,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.80453,144.97793000000001,Apartment,1.0,1.0,,109.0,58
557900,1700056,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.81752,144.96523,Apartment,1.0,1.0,0.0,191.0,123
564734,1710397,"Elwood, VIC, Australia",Port Phillip,Elwood,Victoria,3184,Australia,-37.88232,144.98473,Apartment,2.0,2.0,,326.0,3
592162,2922619,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.81689,144.95372,Apartment,1.0,1.0,,160.0,52
603007,2705870,"South Yarra, VIC, Australia",Melbourne,South Yarra,Victoria,3141,Australia,-37.83056,144.98711,Apartment,1.0,1.0,753.0,121.0,6
621155,355966,"Richmond, VIC, Australia",Yarra,Richmond,Victoria,3121,Australia,-37.82148,144.99428999999998,Apartment,1.0,1.0,,105.0,1
628370,2150180,"Port Melbourne, VIC, Australia",Port Phillip,Port Melbourne,Victoria,3207,Australia,-37.841879999999996,144.94253,Apartment,1.0,2.0,,175.0,21
630189,3132583,"Richmond, VIC, Australia",Yarra,Richmond,Victoria,3121,Australia,-37.82072,145.00028999999998,Apartment,2.0,2.0,,100.0,1
633258,440653,"Windsor, VIC, Australia",Stonnington,Windsor,Victoria,3181,Australia,-37.855129999999996,144.99451000000002,Apartment,1.0,1.0,,74.0,17
639260,172878,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.80173,144.97537,Apartment,1.0,2.0,743.0,127.0,110
641180,3079228,"Melbourne, VIC, Australia",Moreland,Melbourne,Victoria,3056,Australia,-37.775929999999995,144.96928,Guesthouse,1.0,1.0,0.0,89.0,284
644223,266620,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.87044,144.98891,Apartment,1.0,3.0,0.0,121.0,2
656235,3304934,"Hughesdale, VIC, Australia",Monash,Hughesdale,Victoria,,Australia,-37.89516,145.08123999999998,Apartment,1.0,1.0,0.0,125.0,30
657209,721348,"St Kilda East, VIC, Australia",Port Phillip,St Kilda East,Victoria,3183,Australia,-37.86094,144.99299,Apartment,1.0,1.0,0.0,93.0,89
661004,3251357,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.796890000000005,144.98131999999998,Apartment,1.0,2.0,,180.0,169
662482,569413,"South Melbourne, Vic, Australia",Port Phillip,South Melbourne,Victoria,3205,Australia,-37.83575,144.96477,House,10.0,10.0,,699.0,27
668738,3384635,"Melbourne, VIC, Australia",Port Phillip,Melbourne,Victoria,3182,Australia,-37.85946,144.97905,Apartment,1.0,1.0,,121.0,11
712261,738640,"Balaclava, VIC, Australia",Port Phillip,Balaclava,Victoria,3183,Australia,-37.86827,144.99647,Apartment,1.0,1.0,,95.0,21
712598,1499650,"Yarraville, VIC, Australia",Maribyrnong,Yarraville,Victoria,3013,Australia,-37.81625,144.89438,House,1.5,3.0,0.0,289.0,4
715788,3688677,"Newport, VIC, Australia",Hobsons Bay,Newport,Victoria,3015,Australia,-37.84602,144.87636,House,2.0,3.0,0.0,180.0,5
728162,3776061,"Abbotsford, VIC, Australia",Yarra,Abbotsford,Victoria,3067,Australia,-37.80339,144.99454,House,2.0,4.0,0.0,400.0,4
731330,2027601,"St Kilda West, VIC, Australia",Port Phillip,St Kilda West,Victoria,3182,Australia,-37.86025,144.97122,Apartment,1.0,2.0,,148.0,206
739896,3871035,"Brunswick East, VIC, Australia",Moreland,Brunswick East,Victoria,3057,Australia,-37.77156,144.97461,Apartment,2.0,2.0,,300.0,3
752666,2865066,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.80992,144.95827,Apartment,1.0,2.0,,84.0,40
754134,3570625,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.815979999999996,144.96714,Condominium,1.5,1.0,0.0,150.0,80
762695,50121,"Richmond, VIC, Australia",Yarra,Richmond,Victoria,3121,Australia,-37.81467,145.00157,Apartment,1.0,1.0,0.0,140.0,63
768096,3506639,"South Yarra, VIC, Australia",Melbourne,South Yarra,Victoria,3141,Australia,-37.83398,144.98372,Apartment,2.0,2.0,0.0,201.0,85
780441,3377890,"Carlton, VIC, Australia",Melbourne,Carlton,Victoria,3053,Australia,-37.80537,144.96948,Apartment,1.0,1.0,,83.0,61
792570,690940,"Collingwood, VIC, Australia",Yarra,Collingwood,Victoria,3066,Australia,-37.80792,144.98275,Apartment,1.0,2.0,0.0,150.0,6
806245,2792025,"Seddon, VIC, Australia",Maribyrnong,Seddon,Victoria,3011,Australia,-37.8027,144.89799,Townhouse,1.0,2.0,,185.0,222
809366,3427421,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.80924,144.96766000000002,Apartment,1.0,1.0,,121.0,246
817054,3721646,"South Yarra, VIC, Australia",Stonnington,South Yarra,Victoria,3141,Australia,-37.83583,144.99309,Apartment,1.0,2.0,0.0,148.0,34
827095,4338127,"Southbank, VIC, Australia",Melbourne,Southbank,Victoria,3006,Australia,-37.82655,144.96684,Apartment,1.0,1.0,0.0,109.0,271
834720,4114350,"Melbourne, VIC, Australia",Port Phillip,Melbourne,Victoria,3183,Australia,-37.86169,144.99888,Apartment,1.0,1.0,0.0,84.0,7
835730,971810,"Brunswick, VIC, Australia",Moreland,Brunswick,Victoria,3056,Australia,-37.75707,144.97,Bungalow,1.0,2.0,,140.0,181
847063,2591026,"Alphington, VIC, Australia",Darebin,Alphington,Victoria,3078,Australia,-37.777159999999995,145.02026,House,2.0,2.0,,300.0,10
848793,3160757,"Selby, VIC, Australia",Yarra Ranges,Selby,Victoria,3159,Australia,-37.91239,145.38419,Cabin,1.0,2.0,0.0,57.0,2
849118,569413,"Southbank, VIC, Australia",Melbourne,Southbank,Victoria,3006,Australia,-37.82461,144.96122,Apartment,2.0,3.0,0.0,356.0,26
850845,2474010,"Melbourne, VIC, Australia",Port Phillip,Melbourne,Victoria,3182,Australia,-37.86704,144.98315,Apartment,1.0,1.0,,201.0,86
853643,4257468,"Burnley, VIC, Australia",Yarra,Burnley,Victoria,3121,Australia,-37.827420000000004,145.0054,House,1.0,2.0,0.0,185.0,49
856573,913736,"Brunswick, VIC, Australia",Moreland,Brunswick,Victoria,3056,Australia,-37.76599,144.96996000000001,Condominium,1.0,2.0,0.0,185.0,18
862199,4518874,"Carlton, VIC, Australia",Melbourne,Carlton,Victoria,3053,Australia,-37.805440000000004,144.96247,Apartment,1.0,1.0,,105.0,117
865195,606393,"Parkdale, VIC, Australia",Kingston,Parkdale,Victoria,3195,Australia,-37.989340000000006,145.07804,Guesthouse,1.0,1.0,,76.0,59
867464,4542615,"Seddon, VIC, Australia",Maribyrnong,Seddon,Victoria,3011,Australia,-37.80793,144.89823,Tiny house,1.0,1.0,,89.0,231
870066,4585163,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3006,Australia,-37.82607,144.96895,Apartment,1.0,2.0,,150.0,99
875444,4621990,"South Melbourne, VIC, Australia",Port Phillip,South Melbourne,Victoria,3205,Australia,-37.83552,144.96886,Apartment,1.0,1.0,,119.0,148
875913,50121,"Melbourne, VIC, Australia",Yarra,Melbourne,Victoria,3121,Australia,-37.82067,144.99365,Apartment,1.0,1.0,0.0,129.0,62
881242,2262538,"Fairfield, VIC, Australia",Darebin,Fairfield,Victoria,3078,Australia,-37.77543,145.02261000000001,House,1.0,3.0,0.0,140.0,13
890726,2423998,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.86293,144.97298999999998,Apartment,1.0,0.0,,84.0,187
892787,1612516,"East Melbourne, VIC, Australia",Melbourne,East Melbourne,Victoria,3002,Australia,-37.8148,144.98619,Apartment,1.0,1.0,0.0,100.0,46
900838,4812182,"Richmond, VIC, Australia",Yarra,Richmond,Victoria,3121,Australia,-37.8232,144.99251,Loft,1.0,1.0,807.0,233.0,142
905969,4848120,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.80358,144.98161000000002,House,1.5,2.0,1292.0,250.0,70
906586,4853169,"Southbank, VIC, Australia",Melbourne,Southbank,Victoria,3006,Australia,-37.82413,144.96306,Apartment,2.0,3.0,,320.0,86
911365,2877348,"Carlton, VIC, Australia",Melbourne,Carlton,Victoria,3053,Australia,-37.80173,144.97156,House,2.0,3.0,0.0,343.0,85
913004,2027601,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.86354,144.97495,Apartment,1.0,1.0,0.0,140.0,202
920179,4944974,"Olinda, VIC, Australia",Yarra Ranges,Olinda,Victoria,3788,Australia,-37.85131,145.36311,Cottage,1.0,1.0,,195.0,15
921611,3570625,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.8153,144.96669,Apartment,1.0,1.0,0.0,189.0,128
926682,4986236,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.80903,144.96444,Apartment,1.0,1.0,0.0,119.0,168
928684,2542055,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.87409,144.9798,Townhouse,1.5,1.0,,76.0,71
930037,5009174,"Carlton, VIC, Australia",Melbourne,Carlton,Victoria,3053,Australia,-37.79585,144.96769,House,2.0,2.0,,145.0,218
932918,624031,"Caulfield North, VIC, Australia",Glen Eira,Caulfield North,Victoria,3161,Australia,-37.87014,145.0241,Townhouse,2.5,3.0,,191.0,41
933044,5029873,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.81455,144.96267,Apartment,1.0,1.0,,180.0,142
936302,1710397,"St Kilda, VIC, Australia",Port Phillip,St Kilda,Victoria,3182,Australia,-37.86038,144.98334,Apartment,2.0,2.0,,326.0,8
938088,1612516,"East Melbourne, VIC, Australia",Melbourne,East Melbourne,Victoria,3002,Australia,-37.8129,144.98557,Apartment,1.0,1.0,0.0,100.0,29
941483,5090386,"Healesville, VIC, Australia",Yarra Ranges,Healesville,Victoria,3777,Australia,-37.65658,145.52768999999998,House,2.0,2.0,,160.0,74
944235,1000796,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.8042,144.9768,Apartment,1.0,1.0,,145.0,271
952100,4228692,"Northcote, VIC, Australia",Darebin,Northcote,Victoria,3070,Australia,-37.76733,144.99976,Apartment,1.0,1.0,,100.0,121
954106,5181787,"Ringwood North, VIC, Australia",Maroondah,Ringwood North,Victoria,3134,Australia,-37.79804,145.22271999999998,Bungalow,1.0,1.0,,83.0,134
964490,1944622,"Melbourne, VIC, Australia",Melbourne,Melbourne,Victoria,3000,Australia,-37.81559,144.96783,Guest suite,1.0,1.0,65.0,76.0,77
964548,3721646,"Melbourne, VIC, Australia",Port Phillip,Melbourne,Victoria,3004,Australia,-37.835770000000004,144.97468999999998,Apartment,1.0,2.0,1292.0,169.0,81
966901,932976,"Kew, VIC, Australia",Boroondara,Kew,Victoria,3101,Australia,-37.80672,145.03593,House,1.0,1.0,,164.0,71
971698,1000796,"Fitzroy, VIC, Australia",Yarra,Fitzroy,Victoria,3065,Australia,-37.80618,144.97631,Apartment,1.0,1.0,,175.0,16
